spec,n,n_users,r2,corr_D_mu_D_sigma,term,coef,cluster_se,t,p_value,outcome,note
all_test,4069,356,0.0024360840612500656,-0.6721267826739379,D_mu,7.7718747072972665,4.222818245183452,1.8404473638338257,0.06653707757976364,delta_tau_resid,Full held-out test sample.
all_test,4069,356,0.0024360840612500656,-0.6721267826739379,D_sigma,11.688521036882017,5.995034597169858,1.949700347417502,0.051998835215853384,delta_tau_resid,Full held-out test sample.
no_tau_bound,4062,356,0.002585998425419067,-0.6727337965562192,D_mu,8.08834406992256,4.225789424918242,1.9140433316974965,0.05641839844681811,delta_tau_resid,Drops transitions where tau_t or tau_t1 is at optimizer bound.
no_tau_bound,4062,356,0.002585998425419067,-0.6727337965562192,D_sigma,11.982211952677634,5.99713606589895,1.9979890102562718,0.046480355003626975,delta_tau_resid,Drops transitions where tau_t or tau_t1 is at optimizer bound.
preferred,3918,356,0.004121363309282811,-0.6575620073522467,D_mu,11.742392249374843,4.749162007409005,2.472518779324845,0.013884351183537974,delta_tau_resid,No tau-bound transitions; D_mu and D_sigma trimmed at 1st/99th percentiles.
preferred,3918,356,0.004121363309282811,-0.6575620073522467,D_sigma,18.17718883257352,6.61743687549971,2.7468624445625536,0.006323597237170777,delta_tau_resid,No tau-bound transitions; D_mu and D_sigma trimmed at 1st/99th percentiles.
preferred_outcome_winsor_1_99,3918,356,0.004313667268672772,-0.6575620073522467,D_mu,11.634313460902424,4.696868419370715,2.4770362765370346,0.013712861509176864,delta_tau_resid_w01_99,"Preferred sample; outcome winsorized at full-test 1st/99th percentiles [-9.6095, 9.2079]."
preferred_outcome_winsor_1_99,3918,356,0.004313667268672772,-0.6575620073522467,D_sigma,18.320770958622308,6.491511153487927,2.822265960180697,0.005037085829208988,delta_tau_resid_w01_99,"Preferred sample; outcome winsorized at full-test 1st/99th percentiles [-9.6095, 9.2079]."
